item_sku,product_name,product_category,supplier_name,Product Origin,order_date,arrival_date,supplier_lead_time_days,quantity_received,quantity_sold,items_spoiled,current_stock_level,base_price_php,Order Transaction ID,expiry_date,shelf life days,spoilage_sensitivity,base_price,cost_price,selling_price,daily_demand
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/3/2024,7/4/2024,1,65,63,2,0,130,TXN-501415,7/18/2024,14,Medium,130,85,130,13
SKU-7707,Local Calamansi Pack 500g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/3/2024,7/4/2024,1,144,140,4,0,95,TXN-501851,7/18/2024,14,Medium,95,60,95,18
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/3/2024,7/5/2024,2,30,29,1,0,260,TXN-501505,8/19/2024,45,Low,260,190,260,5
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/3/2024,7/5/2024,2,40,39,1,0,260,TXN-501505,8/19/2024,45,Low,260,190,260,5
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/3/2024,7/4/2024,1,90,87,3,0,155,TXN-501415,8/3/2024,30,Low,155,110,155,18
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/3/2024,7/5/2024,2,144,138,6,0,155,TXN-501415,8/4/2024,30,Low,155,110,155,18
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/4/2024,7/6/2024,2,126,124,2,0,165,TXN-500429,7/20/2024,14,High,165,120,165,14
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/4/2024,7/5/2024,1,90,88,2,0,155,TXN-500476,8/4/2024,30,Low,155,110,155,18
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/4/2024,7/6/2024,2,112,110,2,0,130,TXN-500476,7/20/2024,14,Medium,130,85,97.5,14
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/4/2024,7/6/2024,2,42,41,1,0,245,TXN-500429,7/27/2024,21,Medium,245,185,245,7
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/4/2024,7/5/2024,1,108,104,4,0,155,TXN-500476,8/4/2024,30,Low,155,110,155,18
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/4/2024,7/5/2024,1,105,101,4,0,165,TXN-500429,7/19/2024,14,High,165,120,165,15
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/4/2024,7/6/2024,2,25,24,1,0,260,TXN-500429,8/20/2024,45,Low,260,190,260,5
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/4/2024,7/6/2024,2,35,33,2,0,260,TXN-500429,8/20/2024,45,Low,260,190,260,5
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/4/2024,7/5/2024,1,108,107,1,0,155,TXN-500476,8/4/2024,30,Low,155,110,155,18
SKU-7707,Local Calamansi Pack 500g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/4/2024,7/6/2024,2,128,125,3,0,95,TXN-502127,7/20/2024,14,Medium,95,60,95,16
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/4/2024,7/6/2024,2,126,123,3,0,130,TXN-500476,7/20/2024,14,Medium,130,85,130,14
SKU-7703,Organic Salad Mix,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/4/2024,7/6/2024,2,84,81,3,0,180,TXN-502127,7/13/2024,7,High,180,130,180,12
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/4/2024,7/5/2024,1,30,29,1,0,299,TXN-502127,7/15/2024,10,High,299,220,269.1,5
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/4/2024,7/6/2024,2,48,46,2,0,299,TXN-502127,7/16/2024,10,High,299,220,299,6
SKU-7703,Organic Salad Mix,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/4/2024,7/6/2024,2,66,63,3,0,180,TXN-502127,7/13/2024,7,High,180,130,180,11
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/4/2024,7/6/2024,2,91,90,1,0,130,TXN-500476,7/20/2024,14,Medium,130,85,130,13
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/4/2024,7/6/2024,2,171,164,7,0,155,TXN-500476,8/5/2024,30,Low,155,110,155,19
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/5/2024,7/7/2024,2,24,23,1,0,260,TXN-500459,8/21/2024,45,Low,260,190,260,4
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/5/2024,7/7/2024,2,30,29,1,0,299,TXN-501012,7/17/2024,10,High,299,220,299,6
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/5/2024,7/6/2024,1,95,92,3,0,155,TXN-501049,8/5/2024,30,Low,155,110,155,19
SKU-7703,Organic Salad Mix,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/5/2024,7/7/2024,2,88,77,11,0,180,TXN-501012,7/14/2024,7,High,180,130,180,11
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/5/2024,7/7/2024,2,56,55,1,0,245,TXN-500459,7/28/2024,21,Medium,245,185,245,7
SKU-7707,Local Calamansi Pack 500g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/5/2024,7/7/2024,2,136,131,5,0,95,TXN-501012,7/21/2024,14,Medium,95,60,95,17
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/5/2024,7/6/2024,1,98,97,1,0,165,TXN-500459,7/20/2024,14,High,165,120,165,14
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/5/2024,7/7/2024,2,114,109,5,0,155,TXN-501049,8/6/2024,30,Low,155,110,155,19
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/5/2024,7/6/2024,1,25,24,1,0,299,TXN-501012,7/16/2024,10,High,299,220,299,5
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/5/2024,7/7/2024,2,140,135,5,0,155,TXN-501049,8/6/2024,30,Low,155,110,155,20
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/7/2024,1,35,33,2,0,245,TXN-500051,7/28/2024,21,Medium,245,185,183.75,7
SKU-7707,Local Calamansi Pack 500g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/6/2024,7/8/2024,2,96,92,4,0,95,TXN-500162,7/22/2024,14,Medium,95,60,95,16
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/7/2024,1,40,39,1,0,260,TXN-500051,8/21/2024,45,Low,260,190,260,5
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/8/2024,2,40,39,1,0,245,TXN-500051,7/29/2024,21,Medium,245,185,245,8
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/6/2024,7/7/2024,1,78,77,1,0,130,TXN-500534,7/21/2024,14,Medium,130,85,130,13
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/7/2024,1,70,68,2,0,165,TXN-500051,7/21/2024,14,High,165,120,148.5,14
SKU-7703,Organic Salad Mix,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/6/2024,7/8/2024,2,108,84,24,0,180,TXN-500162,7/15/2024,7,High,180,130,180,12
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/6/2024,7/8/2024,2,91,88,3,0,130,TXN-500534,7/22/2024,14,Medium,130,85,130,13
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/6/2024,7/7/2024,1,126,121,5,0,155,TXN-500534,8/6/2024,30,Low,155,110,155,18
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/6/2024,7/8/2024,2,91,90,1,0,130,TXN-500534,7/22/2024,14,Medium,130,85,130,13
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/6/2024,7/8/2024,2,171,165,6,0,155,TXN-500534,8/7/2024,30,Low,155,110,155,19
SKU-7707,Local Calamansi Pack 500g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/6/2024,7/7/2024,1,108,103,5,0,95,TXN-500162,7/21/2024,14,Medium,95,60,95,18
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/7/2024,1,56,53,3,0,245,TXN-500051,7/28/2024,21,Medium,245,185,245,7
SKU-7707,Local Calamansi Pack 500g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/6/2024,7/7/2024,1,144,139,5,0,95,TXN-500162,7/21/2024,14,Medium,95,60,95,16
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/8/2024,2,35,33,2,0,260,TXN-500051,8/22/2024,45,Low,260,190,260,5
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/7/2024,1,56,55,1,0,245,TXN-500051,7/28/2024,21,Medium,245,185,245,8
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/7/2024,1,45,44,1,0,260,TXN-500051,8/21/2024,45,Low,260,190,260,5
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/8/2024,2,104,100,4,0,165,TXN-500051,7/22/2024,14,High,165,120,165,13
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/6/2024,7/7/2024,1,54,53,1,0,299,TXN-500162,7/17/2024,10,High,299,220,299,6
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/8/2024,2,64,63,1,0,245,TXN-500051,7/29/2024,21,Medium,245,185,245,8
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/6/2024,7/8/2024,2,72,71,1,0,130,TXN-500534,7/22/2024,14,Medium,130,85,130,12
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/7/2024,1,65,63,2,0,165,TXN-500051,7/21/2024,14,High,165,120,165,13
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/7/2024,1,70,67,3,0,165,TXN-500051,7/21/2024,14,High,165,120,165,14
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/6/2024,7/8/2024,2,78,74,4,0,165,TXN-500051,7/22/2024,14,High,165,120,148.5,13
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/7/2024,7/9/2024,2,78,77,1,0,130,TXN-500219,7/23/2024,14,Medium,130,85,130,13
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/7/2024,7/9/2024,2,25,24,1,0,299,TXN-500270,7/19/2024,10,High,299,220,299,5
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/7/2024,7/8/2024,1,90,88,2,0,165,TXN-500423,7/22/2024,14,High,165,120,165,15
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/7/2024,7/9/2024,2,84,82,2,0,130,TXN-500219,7/23/2024,14,Medium,130,85,130,14
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/7/2024,7/8/2024,1,32,31,1,0,260,TXN-500423,8/22/2024,45,Low,260,190,260,4
SKU-7707,Local Calamansi Pack 500g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/7/2024,7/9/2024,2,153,152,1,0,95,TXN-500270,7/23/2024,14,Medium,95,60,95,17
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/7/2024,7/9/2024,2,70,68,2,0,130,TXN-500219,7/23/2024,14,Medium,130,85,130,14
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/7/2024,7/8/2024,1,28,27,1,0,260,TXN-500423,8/22/2024,45,Low,260,190,260,4
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/7/2024,7/8/2024,1,126,124,2,0,130,TXN-500219,7/22/2024,14,Medium,130,85,130,14
SKU-7707,Local Calamansi Pack 500g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/7/2024,7/8/2024,1,153,147,6,0,95,TXN-500270,7/22/2024,14,Medium,95,60,95,17
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/7/2024,7/8/2024,1,49,48,1,0,245,TXN-500423,7/29/2024,21,Medium,245,185,245,7
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/7/2024,7/8/2024,1,56,54,2,0,245,TXN-500423,7/29/2024,21,Medium,245,185,245,7
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/7/2024,7/8/2024,1,65,64,1,0,165,TXN-500423,7/22/2024,14,High,165,120,148.5,13
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/7/2024,7/9/2024,2,25,24,1,0,260,TXN-500423,8/23/2024,45,Low,260,190,260,5
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/7/2024,7/8/2024,1,135,131,4,0,165,TXN-500423,7/22/2024,14,High,165,120,123.75,15
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/7/2024,7/8/2024,1,42,40,2,0,299,TXN-500270,7/18/2024,10,High,299,220,269.1,6
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/7/2024,7/8/2024,1,42,41,1,0,245,TXN-500423,7/29/2024,21,Medium,245,185,245,7
SKU-7703,Organic Salad Mix,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/7/2024,7/8/2024,1,77,76,1,0,180,TXN-500270,7/15/2024,7,High,180,130,180,11
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/7/2024,7/9/2024,2,104,103,1,0,165,TXN-500423,7/23/2024,14,High,165,120,165,13
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/7/2024,7/9/2024,2,42,40,2,0,245,TXN-500423,7/30/2024,21,Medium,245,185,245,7
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/7/2024,7/8/2024,1,171,167,4,0,155,TXN-500219,8/7/2024,30,Low,155,110,139.5,19
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/7/2024,7/9/2024,2,84,83,1,0,130,TXN-500219,7/23/2024,14,Medium,130,85,130,14
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/7/2024,7/8/2024,1,162,158,4,0,155,TXN-500219,8/7/2024,30,Low,155,110,155,18
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/7/2024,7/8/2024,1,112,109,3,0,165,TXN-500423,7/22/2024,14,High,165,120,165,14
SKU-7703,Organic Salad Mix,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/7/2024,7/9/2024,2,88,77,11,0,180,TXN-500270,7/16/2024,7,High,180,130,135,11
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/8/2024,7/9/2024,1,112,110,2,0,165,TXN-500233,7/23/2024,14,High,165,120,165,14
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/8/2024,7/9/2024,1,42,41,1,0,299,TXN-501374,7/19/2024,10,High,299,220,299,6
SKU-7703,Organic Salad Mix,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/8/2024,7/10/2024,2,99,77,22,0,180,TXN-501374,7/17/2024,7,High,180,130,180,11
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/8/2024,7/10/2024,2,70,67,3,0,165,TXN-500233,7/24/2024,14,High,165,120,165,14
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/8/2024,7/9/2024,1,91,87,4,0,165,TXN-500233,7/23/2024,14,High,165,120,123.75,13
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/8/2024,7/10/2024,2,48,46,2,0,245,TXN-500233,7/31/2024,21,Medium,245,185,245,8
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/8/2024,7/10/2024,2,70,68,2,0,165,TXN-500233,7/24/2024,14,High,165,120,165,14
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/8/2024,7/9/2024,1,104,102,2,0,130,TXN-502101,7/23/2024,14,Medium,130,85,117,13
SKU-7703,Organic Salad Mix,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/8/2024,7/9/2024,1,77,75,2,0,180,TXN-501374,7/16/2024,7,High,180,130,162,11
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/8/2024,7/9/2024,1,30,29,1,0,299,TXN-501374,7/19/2024,10,High,299,220,299,6
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/8/2024,7/10/2024,2,126,123,3,0,165,TXN-500233,7/24/2024,14,High,165,120,148.5,14
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/8/2024,7/9/2024,1,78,77,1,0,130,TXN-502101,7/23/2024,14,Medium,130,85,130,13
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/8/2024,7/10/2024,2,49,47,2,0,245,TXN-500233,7/31/2024,21,Medium,245,185,220.5,7
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/8/2024,7/9/2024,1,25,24,1,0,299,TXN-501374,7/19/2024,10,High,299,220,299,5
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/8/2024,7/9/2024,1,40,39,1,0,245,TXN-500233,7/30/2024,21,Medium,245,185,245,8
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/8/2024,7/9/2024,1,133,128,5,0,155,TXN-502101,8/8/2024,30,Low,155,110,155,19
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/8/2024,7/9/2024,1,56,55,1,0,245,TXN-500233,7/30/2024,21,Medium,245,185,245,8
SKU-7703,Organic Salad Mix,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/8/2024,7/9/2024,1,84,81,3,0,180,TXN-501374,7/16/2024,7,High,180,130,180,12
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/8/2024,7/9/2024,1,84,81,3,0,130,TXN-502101,7/23/2024,14,Medium,130,85,130,14
SKU-7703,Organic Salad Mix,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/9/2024,7/10/2024,1,96,84,12,0,180,TXN-500122,7/17/2024,7,High,180,130,180,12
SKU-7707,Local Calamansi Pack 500g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/9/2024,7/11/2024,2,85,83,2,0,95,TXN-500122,7/25/2024,14,Medium,95,60,95,17
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/9/2024,7/10/2024,1,133,129,4,0,155,TXN-501937,8/9/2024,30,Low,155,110,155,19
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/9/2024,7/11/2024,2,152,149,3,0,155,TXN-501937,8/10/2024,30,Low,155,110,155,19
SKU-7707,Local Calamansi Pack 500g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/9/2024,7/11/2024,2,153,151,2,0,95,TXN-500122,7/25/2024,14,Medium,95,60,95,17
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/9/2024,7/11/2024,2,104,101,3,0,130,TXN-501937,7/25/2024,14,Medium,130,85,130,13
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/9/2024,7/11/2024,2,28,27,1,0,260,TXN-502029,8/25/2024,45,Low,260,190,260,4
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/9/2024,7/10/2024,1,25,24,1,0,299,TXN-500122,7/20/2024,10,High,299,220,299,5
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/9/2024,7/10/2024,1,114,111,3,0,155,TXN-501937,8/9/2024,30,Low,155,110,139.5,19
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/9/2024,7/11/2024,2,30,29,1,0,299,TXN-500122,7/21/2024,10,High,299,220,299,6
SKU-7706,Chilled Cheese Block 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/9/2024,7/10/2024,1,28,27,1,0,260,TXN-502029,8/24/2024,45,Low,260,190,234,4
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/9/2024,7/11/2024,2,98,94,4,0,165,TXN-502029,7/25/2024,14,High,165,120,148.5,14
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/9/2024,7/10/2024,1,45,43,2,0,299,TXN-500122,7/20/2024,10,High,299,220,299,5
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/9/2024,7/10/2024,1,91,89,2,0,130,TXN-501937,7/24/2024,14,Medium,130,85,130,13
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/10/2024,7/12/2024,2,35,34,1,0,245,TXN-500231,8/2/2024,21,Medium,245,185,245,7
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/10/2024,7/12/2024,2,30,29,1,0,299,TXN-500431,7/22/2024,10,High,299,220,224.25,6
